Date,Open,High,Low,Close,Adj Close ,Volume
6/11/2024,200.0099945,207.5500031,199.1399994,207.0899963,207.0899963,72292200
7/11/2024,207.4400024,212.25,207.1900024,210.0500031,210.0500031,52878400
8/11/2024,209.7200012,209.9600067,207.4400024,208.1799927,208.1799927,36075800
11/11/2024,208.5,209.6499939,205.5899963,206.8399963,206.8399963,35456000
12/11/2024,208.3699951,209.5399933,206.0099945,208.9100037,208.9100037,38942900
13/11/2024,209.3999939,215.0899963,209.1399994,214.1000061,214.1000061,46212900
14/11/2024,214.1600037,215.8999939,210.8800049,211.4799957,211.4799957,42620300
15/11/2024,206.7599945,207.3399963,199.6100006,202.6100006,202.6100006,86591100
18/11/2024,204.1499939,204.6699982,200.9499969,201.6999969,201.6999969,36512500
19/11/2024,199.3300018,205.3000031,198.7799988,204.6100006,204.6100006,31197900
20/11/2024,202.9799957,203.1300049,199.4499969,202.8800049,202.8800049,32769000
21/11/2024,203.4900055,203.4900055,195.75,198.3800049,198.3800049,58800000
22/11/2024,198.25,199.2599945,196.75,197.1199951,197.1199951,31530800
25/11/2024,199.2799988,201.9499969,199,201.4499969,201.4499969,40685700
26/11/2024,201.8999939,208,201.7899933,207.8600006,207.8600006,41673700
27/11/2024,206.9799957,207.6399994,205.0500031,205.7400055,205.7400055,28061600
29/11/2024,205.8300018,208.1999969,204.5899963,207.8899994,207.8899994,24892400
2/12/2024,209.9600067,212.9900055,209.5099945,210.7100067,210.7100067,39523200
3/12/2024,210.3099976,214.0200043,209.6499939,213.4400024,213.4400024,32214800
4/12/2024,215.9600067,220,215.75,218.1600037,218.1600037,48745700
5/12/2024,218.0299988,222.1499939,217.3000031,220.5500031,220.5500031,41140200
6/12/2024,220.75,227.1499939,220.6000061,227.0299988,227.0299988,44178100
9/12/2024,227.2100067,230.0800018,225.6699982,226.0899963,226.0899963,46819400
10/12/2024,226.0899963,229.0599976,224.1999969,225.0399933,225.0399933,31199900
11/12/2024,226.4100037,231.1999969,226.2599945,230.2599945,230.2599945,35385800
12/12/2024,229.8300018,231.0899963,227.6300049,228.9700012,228.9700012,28204100
13/12/2024,228.3999939,230.1999969,225.8600006,227.4600067,227.4600067,28768100
16/12/2024,230.2299957,233,228.0099945,232.9299927,232.9299927,37552100
17/12/2024,232.3899994,232.7299957,227.8500061,231.1499939,231.1499939,35948100
18/12/2024,230.7700043,231.3999939,220.1100006,220.5200043,220.5200043,43281400
19/12/2024,224.9100037,226.0899963,222.9199982,223.2899933,223.2899933,39918700
